Genes for module 137
LocusLink	Name	P-value	Description
183	AGT	<1e-14	angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8).ANHU; SERPINA8.angiotensinogen precursor.
7122	CLDN5	<1e-14	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome).AWAL; BEC1; TMVCF; CPETRL1.claudin 5.
1627	DBN1	<1e-14	drebrin 1.D0S117E; DKFZp434D064.drebrin 1 isoform b.
4919	ROR1	<1e-14	receptor tyrosine kinase-like orphan receptor 1.NTRKR1; dJ537F10.1.receptor tyrosine kinase-like orphan receptor 1.
3642	INSM1	<1e-14	insulinoma-associated 1.IA1; IA-1.insulinoma-associated 1.
4297	MLL	<1e-14	myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila).HRX; TRX1; ALL-1; HTRX1.myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila).
3908	LAMA2	<1e-14	laminin, alpha 2 (merosin, congenital muscular dystrophy).LAMM.laminin alpha 2 subunit precursor.
27339		1.42109e-13	PSO4; hPSO4.nuclear matrix protein NMP200 related to splicing factor PRP19.
4133	MAP2	1.98952e-13	microtubule-associated protein 2.MAP2A; MAP2B; MAP2C.microtubule-associated protein 2 isoform 4.
9145	SYNGR1	1.98952e-13	synaptogyrin 1.MGC:1939.synaptogyrin 1 isoform 1c.
8534	CHST1	2.55795e-13	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1.C6ST; KS6ST; KSGAL6ST; KSGal6ST.carbohydrate (keratan sulfate Gal-6) sulfotransferase 1.
934	CD24	2.55795e-13	CD24 antigen (small cell lung carcinoma cluster 4 antigen).CD24A.CD24 antigen (small cell lung carcinoma cluster 4 antigen).
57030	SLC17A7	3.12639e-13	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7.TACE; 1600027H05Rik; tMDCIII; BNPI; VGLUT1.solute carrier family 17, member 7.
10529		3.12639e-13	nebulette.
3679	ITGA7	3.12639e-13	integrin, alpha 7..integrin alpha 7 precursor.
23705	IGSF4	5.40012e-13	immunoglobulin superfamily, member 4.BL2; ST17; NECL2; TSLC1; SYNCAM.immunoglobulin superfamily, member 4.Low similarity to viral receptors and adhesion molecules; contains immunoglobulin (Ig) domains|Proteome
4303	MLLT7	7.67386e-13	myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7.AFX; AFX1; FOXO4.myeloidlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7.
213	ALB	1.27898e-12	albumin.PRO0883.albumin precursor.
1838	DTNB	1.50635e-12	dystrobrevin, beta.MGC17163; MGC57126.dystrobrevin, beta isoform 5.
5602	MAPK10	1.56319e-12	mitogen-activated protein kinase 10.JNK3; JNK3A; PRKM10; p493F12; FLJ12099; p54bSAPK.mitogen-activated protein kinase 10 isoform 4.
